Run ID,Sequence Type,PMID,Project ID,Tissue,Condition,Development Stage,Cultivar,Library Name,Release Date
SRR5796940,RNA,29087317,PRJNA397035,shoot,normal,two week old,Nip,RNA_seq,2018/11/13
SRR5796941,RNA,29087317,PRJNA397035,shoot,normal,two week old,Nip,RNA_seq,2018/11/13
SRR5796950,RNA,29087317,PRJNA397035,shoot,heat 42C for 10mins,two week old,Nip,RNA_seq,2018/11/13
SRR5796951,RNA,29087317,PRJNA397035,shoot,heat 42C for 10mins,two week old,Nip,RNA_seq,2018/11/13
SRR5892473,Ribo,29087317,PRJNA397035,shoot,normal,two week old,Nip,Ribo_seq,2018/11/13
SRR5892474,Ribo,29087317,PRJNA397035,shoot,normal,two week old,Nip,Ribo_seq,2018/11/13
SRR5892475,Ribo,29087317,PRJNA397035,shoot,heat 42C for 10mins,two week old,Nip,Ribo_seq,2018/11/13
SRR5892476,Ribo,29087317,PRJNA397035,shoot,heat 42C for 10mins,two week old,Nip,Ribo_seq,2018/11/13
SRR8594298,Ribo,34384368,PRJNA523300,shoot,normal,three leaf stage,Nip,NB_Ribo_0h_2,2019/5/6
SRR8594299,Ribo,34384368,PRJNA523300,shoot,normal,three leaf stage,Nip,NB_Ribo_0h_1,2019/5/6
SRR8594300,RNA,34384368,PRJNA523300,shoot,salt stress,three leaf stage,SR86,SR86_RNA_24h_2,2019/5/6
SRR8594301,RNA,34384368,PRJNA523300,shoot,salt stress,three leaf stage,SR86,SR86_RNA_24h_1,2019/5/6
SRR8594302,RNA,34384368,PRJNA523300,shoot,normal,three leaf stage,SR86,SR86_RNA_0h_2,2019/5/6
SRR8594303,RNA,34384368,PRJNA523300,shoot,normal,three leaf stage,SR86,SR86_RNA_0h_1,2019/5/6
SRR8594304,RNA,34384368,PRJNA523300,shoot,salt stress,three leaf stage,Nip,NB_RNA_24h_2,2019/5/6
SRR8594305,RNA,34384368,PRJNA523300,shoot,salt stress,three leaf stage,Nip,NB_RNA_24h_1,2019/5/6
SRR8594306,RNA,34384368,PRJNA523300,shoot,normal,three leaf stage,Nip,NB_RNA_0h_2,2019/5/6
SRR8594307,RNA,34384368,PRJNA523300,shoot,normal,three leaf stage,Nip,NB_RNA_0h_1,2019/5/6
SRR8594308,Ribo,34384368,PRJNA523300,shoot,salt stress,three leaf stage,SR86,SR86_Ribo_24h_2,2019/5/6
SRR8594309,Ribo,34384368,PRJNA523300,shoot,salt stress,three leaf stage,SR86,SR86_Ribo_24h_1,2019/5/6
SRR8594310,Ribo,34384368,PRJNA523300,shoot,salt stress,three leaf stage,Nip,NB_Ribo_24h_2,2019/5/6
SRR8594311,Ribo,34384368,PRJNA523300,shoot,salt stress,three leaf stage,Nip,NB_Ribo_24h_1,2019/5/6
SRR8594312,Ribo,34384368,PRJNA523300,shoot,normal,three leaf stage,SR86,SR86_Ribo_0h_2,2019/5/6
