Ribo-seq Run ID,Raw reads number,Clean reads number,Clean reads %,RPFs number,RPFs %,ORF assigned number,ORF assigned %
CRR104628,"135,295,184","64,026,576",47.32%,"3,530,128",2.61%,"2,080,170",1.54%
CRR104629,"164,233,959","78,993,848",48.10%,"4,341,505",2.64%,"2,584,798",1.57%
CRR104630,"126,184,805","62,247,660",49.33%,"3,950,274",3.13%,"2,284,975",1.81%
CRR104631,"127,188,465","62,412,689",49.07%,"3,953,596",3.11%,"2,306,592",1.81%
CRR104632,"148,816,052","62,468,713",41.98%,"3,165,458",2.13%,"1,680,016",1.13%
CRR104633,"135,259,064","58,304,726",43.11%,"2,827,511",2.09%,"1,566,032",1.16%
CRR104634,"142,724,615","67,850,502",47.54%,"2,165,836",1.52%,"1,151,793",0.81%
CRR104635,"140,487,176","68,195,344",48.54%,"1,857,090",1.32%,"930,032",0.66%
Ribo_callus_diff_rep1,"105,499,781","32,518,459",30.82%,"25,850,857",24.50%,"20,399,307",19.34%
Ribo_callus_diff_rep2,"110,713,863","31,493,597",28.45%,"24,008,682",21.69%,"17,763,681",16.04%
Ribo_callus_diff_rep3,"149,430,261","44,774,511",29.96%,"34,348,087",22.99%,"25,874,743",17.32%
Ribo_callus_un_rep1,"103,619,835","30,055,000",29.01%,"22,550,171",21.76%,"15,799,442",15.25%
Ribo_callus_un_rep2,"117,594,218","33,453,977",28.45%,"23,759,184",20.20%,"15,876,113",13.50%
Ribo_callus_un_rep3,"102,145,066","29,618,015",29.00%,"21,341,634",20.89%,"14,158,987",13.86%
Ribo_embryo_rep1,"111,673,479","21,833,266",19.55%,"12,161,399",10.89%,"8,706,033",7.80%
Ribo_embryo_rep2,"99,447,418","14,139,479",14.22%,"5,556,048",5.59%,"2,793,733",2.81%
Ribo_embryo_rep3,"101,661,633","15,004,096",14.76%,"7,141,409",7.02%,"4,506,257",4.43%
Ribo_seed_rep1,"99,201,360","25,838,589",26.05%,"17,075,826",17.21%,"14,584,675",14.70%
Ribo_seed_rep2,"114,195,420","31,301,456",27.41%,"20,827,920",18.24%,"18,015,154",15.78%
Ribo_seed_rep3,"98,840,964","21,732,375",21.99%,"14,331,513",14.50%,"12,326,507",12.47%
SRR10912953,"75,261,340","13,407,517",17.81%,"2,758,969",3.67%,"1,756,100",2.33%
SRR10912954,"65,850,171","13,313,183",20.22%,"3,387,622",5.14%,"2,300,077",3.49%
SRR10912955,"71,429,598","11,676,922",16.35%,"3,843,084",5.38%,"2,785,518",3.90%
SRR10912956,"67,711,714","14,335,458",21.17%,"4,840,119",7.15%,"3,386,268",5.00%
SRR10912957,"69,189,387","14,941,623",21.60%,"4,566,854",6.60%,"3,130,637",4.52%
