ORF ID,Database,Subject ID,Identity,Alignment length,Mismatches,Gap openings,LncORF start,LncORF end,Subject start,Subject end,E-value,Bitscore
OsLncORF00023,NR,ABG22340.1,0.769,52,4,1,1,44,30,81,1.56E-12,72
OsLncORF00026,NR,KAF2948056.1,1,29,0,0,1,29,21,49,2.50E-09,63
OsLncORF00032,NR,KAF2948066.1,1,40,0,0,1,40,40,79,7.72E-19,89
OsLncORF00067,NR,BAD61070.1,1,20,0,0,1,20,67,86,8.12E-05,48
OsLncORF00079,NR,KAF2948337.1,0.982,58,1,0,1,58,1,58,3.81E-33,132
OsLncORF00113,NR,EEC73891.1,0.846,26,4,0,1,26,1,26,1.55E-06,55
OsLncORF00204,NR,KAA0047299.1,0.847,46,7,0,1,46,105,150,5.11E-16,83
OsLncORF00216,NR,BAA92205.1,0.987,83,1,0,19,101,26,108,1.58E-39,153
OsLncORF00224,NR,EAY73366.1,1,34,0,0,1,34,1,34,1.78E-11,68
OsLncORF00232,NR,KAF7022226.1,0.74,27,7,0,5,31,44,70,4.14E-04,47
OsLncORF00255,NR,XP_052168432.1,0.978,46,1,0,8,53,66,111,1.21E-19,93
OsLncORF00270,eggNOG,2R62N,0.376,101,21,1,3,61,13,113,3.00E-14,70
OsLncORF00270,NR,EEE54406.1,0.977,87,2,0,1,87,14,100,3.46E-41,157
OsLncORF00276,NR,BAD45597.1,1,43,0,0,1,43,22,64,7.15E-20,93
OsLncORF00283,NR,BAD45576.1,0.654,110,23,2,1,95,1,110,4.45E-35,139
OsLncORF00284,NR,BAD45576.1,0.753,77,5,1,1,63,1,77,1.09E-27,116
OsLncORF00285,NR,BAB62612.1,1,35,0,0,35,69,1,35,8.14E-12,72
OsLncORF00286,NR,KAF2949879.1,1,81,0,0,1,81,1,81,3.44E-41,156
OsLncORF00306,NR,KAI5011890.1,0.866,30,4,0,39,68,39,68,1.43E-06,56
OsLncORF00308,NR,BAD52603.1,1,43,0,0,1,43,1,43,1.06E-16,84
