lncORF ID,lncORF transcript,,,,Variant,,Trait type,-log10(GWAS P value)
,Chromsome,Start,End,Strand,Chromsome,loci,,
OsLncORF00007,Chr1,607596,610619,-,Chr1,608288,primary branch number,3.65758
OsLncORF00007,Chr1,607596,610619,-,Chr1,608288,primary branch number,4.35556
OsLncORF00026,Chr1,855186,860521,+,Chr1,855970,days to flowering trait,6.06956
OsLncORF00026,Chr1,855186,860521,+,Chr1,855970,spikelet number,4.73283
OsLncORF00026,Chr1,855186,860521,+,Chr1,859614,tiller number,4.28988
OsLncORF00026,Chr1,855186,860521,+,Chr1,859635,tiller number,3.39794
OsLncORF00026,Chr1,855186,860521,+,Chr1,860512,arsenic content trait,3.01144
OsLncORF00026,Chr1,855186,860521,+,Chr1,860515,arsenic content trait,3.01144
OsLncORF00027,Chr1,855023,859246,+,Chr1,855970,days to flowering trait,6.06956
OsLncORF00027,Chr1,855023,859246,+,Chr1,855970,spikelet number,4.73283
OsLncORF00028,Chr1,855078,858204,+,Chr1,855970,days to flowering trait,6.06956
OsLncORF00028,Chr1,855078,858204,+,Chr1,855970,spikelet number,4.73283
OsLncORF00029,Chr1,855186,860521,+,Chr1,855970,days to flowering trait,6.06956
OsLncORF00029,Chr1,855186,860521,+,Chr1,855970,spikelet number,4.73283
OsLncORF00029,Chr1,855186,860521,+,Chr1,859614,tiller number,4.28988
OsLncORF00029,Chr1,855186,860521,+,Chr1,859635,tiller number,3.39794
OsLncORF00029,Chr1,855186,860521,+,Chr1,860512,arsenic content trait,3.01144
OsLncORF00029,Chr1,855186,860521,+,Chr1,860515,arsenic content trait,3.01144
OsLncORF00030,Chr1,855023,859246,+,Chr1,855970,days to flowering trait,6.06956
OsLncORF00030,Chr1,855023,859246,+,Chr1,855970,spikelet number,4.73283
OsLncORF00031,Chr1,855186,860521,+,Chr1,855970,days to flowering trait,6.06956
OsLncORF00031,Chr1,855186,860521,+,Chr1,855970,spikelet number,4.73283
OsLncORF00031,Chr1,855186,860521,+,Chr1,859614,tiller number,4.28988
OsLncORF00031,Chr1,855186,860521,+,Chr1,859635,tiller number,3.39794
OsLncORF00031,Chr1,855186,860521,+,Chr1,860512,arsenic content trait,3.01144
OsLncORF00031,Chr1,855186,860521,+,Chr1,860515,arsenic content trait,3.01144
OsLncORF00032,Chr1,915966,920806,-,Chr1,917609,primary branch number,3.451
OsLncORF00032,Chr1,915966,920806,-,Chr1,917933,primary branch number,3.451
OsLncORF00033,Chr1,915966,920806,-,Chr1,917609,primary branch number,3.451
OsLncORF00033,Chr1,915966,920806,-,Chr1,917933,primary branch number,3.451
OsLncORF00055,Chr1,1992398,1998216,-,Chr1,1997037,primary internode length,3.47886
OsLncORF00056,Chr1,1992234,1998216,-,Chr1,1997037,primary internode length,3.47886
OsLncORF00066,Chr1,2306688,2309619,-,Chr1,2309200,arsenic content trait,3.52724
OsLncORF00067,Chr1,2306688,2309619,-,Chr1,2309200,arsenic content trait,3.52724
OsLncORF00068,Chr1,2312479,2318063,-,Chr1,2315453,Culm length,22.82
OsLncORF00068,Chr1,2312479,2318063,-,Chr1,2315453,Heading date,11.23
OsLncORF00069,Chr1,2312479,2318063,-,Chr1,2315453,Culm length,22.82
OsLncORF00069,Chr1,2312479,2318063,-,Chr1,2315453,Heading date,11.23
OsLncORF00070,Chr1,2312479,2318063,-,Chr1,2315453,Culm length,22.82
OsLncORF00070,Chr1,2312479,2318063,-,Chr1,2315453,Heading date,11.23
OsLncORF00071,Chr1,2312479,2318063,-,Chr1,2315453,Culm length,22.82
OsLncORF00071,Chr1,2312479,2318063,-,Chr1,2315453,Heading date,11.23
OsLncORF00072,Chr1,2318474,2322711,-,Chr1,2320634,arsenic content trait,4.28567
OsLncORF00073,Chr1,2318474,2322711,-,Chr1,2320634,arsenic content trait,4.28567
OsLncORF00074,Chr1,2318474,2322711,-,Chr1,2320634,arsenic content trait,4.28567
OsLncORF00096,Chr1,2459431,2462599,+,Chr1,2460843,root length,5.45842
OsLncORF00096,Chr1,2459431,2462599,+,Chr1,2462191,ratio of electrolyte leakage,6.02045
OsLncORF00097,Chr1,2459431,2462599,+,Chr1,2460843,root length,5.45842
OsLncORF00097,Chr1,2459431,2462599,+,Chr1,2462191,ratio of electrolyte leakage,6.02045
OsLncORF00098,Chr1,2459431,2462599,+,Chr1,2460843,root length,5.45842
OsLncORF00098,Chr1,2459431,2462599,+,Chr1,2462191,ratio of electrolyte leakage,6.02045
OsLncORF00099,Chr1,2459431,2462599,+,Chr1,2460843,root length,5.45842
OsLncORF00099,Chr1,2459431,2462599,+,Chr1,2462191,ratio of electrolyte leakage,6.02045
OsLncORF00103,Chr1,2713996,2718407,-,Chr1,2716541,inflorescence axis length,3.67985
OsLncORF00103,Chr1,2713996,2718407,-,Chr1,2716863,inflorescence axis length,3.42251
OsLncORF00103,Chr1,2713996,2718407,-,Chr1,2717831,inflorescence axis length,3.67985
